"expediente","tipo","objeto","estado","importe","fechas","url"
"940.23","Servicios","Prestación del servicio de póliza de seguro de responsabilidad de autoridades y personal al servicio de la Universidad de Almería","Resuelta","6.000,00","Publicación PLACSP:
Adjudicación:31/03/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=QXytMbtQj7nnSoTX3z%2F7wA%3D%3D"
"941.23","Servicios","Prestación del servicio de Prevención Ajeno en las Especialidades de Vigilancia de la Salud e Higiene Industrial en la Universidad de Almería, así como otros servicios complementarios","Anuncio Previo","314.844,20","","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=eYrIed%2ByTx2mq21uxhbaVQ%3D%3D"
"945.23","Servicios","Prestación de servicios de transporte de la comunidad universitaria o personas relacionadas con las actividades de la Universidad de Almería","Resuelta","226.000,00","Publicación PLACSP:
Adjudicación:16/06/2023
Formalización:11/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=EOQpuG1QWix7h85%2Fpmmsfw%3D%3D"
"943.23","Administrativo especial","Instalación y explotación de máquinas automáticas expendedoras de venta de productos: bebidas calientes y frías y productos alimenticios sólidos, en diversos edificios de la Universidad de Almería","Resuelta","0,00","Publicación PLACSP:
Adjudicación:31/05/2023
Formalización:29/06/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=flvSzHuBZXYSugstABGr5A%3D%3D"
"942.23","Servicios","Servicio de redacción y comunicación en el Gabinete de Comunicación de la Universidad de Almería","Resuelta","24.000,00","Publicación PLACSP:
Adjudicación:22/03/2023
Formalización:27/03/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=QNSMey422Wymq21uxhbaVQ%3D%3D"
"859AE.21","Servicios","Requerimiento de catálogos para la posterior selección de productos basado en el Contrato derivado del SDA con referencia 859.21, para la entrega de una pluralidad de bienes de forma sucesiva y por precio unitario de la categoría 8 sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Evaluación","0,00","Present. Oferta:07/02/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=qJ3jWvwOHPsBPRBxZ4nJ%2Fg%3D%3D"
"939.22","Servicios","Servicio de redacción y comunicación en el Gabinete de Comunicación de la Universidad de Almería","Resuelta","24.000,00","Publicación PLACSP:
Adjudicación:08/02/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=X4YUDLPo%2BgOmq21uxhbaVQ%3D%3D"
"937.22","Servicios","Servicio de impresión y personalización de los títulos universitarios oficiales, suplemento europeo y sus copias electrónicas, títulos propios de la Universidad de Almería y otros títulos","Resuelta","200.000,00","Publicación PLACSP:
Adjudicación:19/04/2023
Formalización:25/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Ya4fpMsMif%2Bmq21uxhbaVQ%3D%3D"
"935.22","Suministros","Suministro del equipamiento y licencias de la Red Inalámbrica de Comunicaciones de Datos de la Universidad de Almería necesario para la extensión de dicha Red a los edificios Departamental E y Aulas de Informática","Resuelta","130.871,09","Publicación PLACSP:
Adjudicación:12/01/2023
Formalización:03/02/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=KqsqiqVr7RYBPRBxZ4nJ%2Fg%3D%3D"
"938.22","Obras","Ejecución de la obra del Edificio de Usos Múltiples","Resuelta","1.875.539,50","Publicación PLACSP:
Adjudicación:09/02/2023
Formalización:22/02/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VQTUuKG5x%2F8BPRBxZ4nJ%2Fg%3D%3D"
"936.22","Suministros","Suministro, montaje e instalación de mobiliario para el nuevo edificio Aulario de Informática, dentro del Campus de la Universidad de Almería","Resuelta","461.950,00","Publicación PLACSP:
Adjudicación:09/03/2023
Formalización:31/03/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=qDIZCNNBwQznSoTX3z%2F7wA%3D%3D"
"933.22","Suministros","Suministro para la renovación de los equipos que constituyen el equipamiento troncal de la Red de Comunicaciones de Voz y Datos de la Universidad de Almería, los servicios de instalación y puesta en producción del nuevo equipamiento ofertado; y el soporte y mantenimiento de los equipos a extinguir durante el periodo de transición y de los nuevos equipos a suministrar","Resuelta","631.500,00","Publicación PLACSP:
Adjudicación:22/02/2023
Formalización:17/03/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ZuEM3JjA2UGmq21uxhbaVQ%3D%3D"
"934.22","Suministros","Suministro de las licencias correspondientes a los productos Fortinet que constituyen el equipamiento de Seguridad Perimetral de la Red de Comunicaciones de Voz y Datos de la Universidad de Almería","Resuelta","150.362,71","Publicación PLACSP:
Adjudicación:26/01/2023
Formalización:20/02/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=n3h81mNyIo4SugstABGr5A%3D%3D"
"932.22","Servicios","Servicio de atención/dinamización de la Universidad de Mayores en la sede de Roquetas de Mar","Resuelta","13.073,17","Publicación PLACSP:
Adjudicación:12/01/2023
Formalización:16/01/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=djX671VRBhV7h85%2Fpmmsfw%3D%3D"
"859AD","Servicios","Contratación de los servicios para la creación de una herramienta informática que permita la publicación de todas las convocatorias de becas que se oferten en la Universidad de Almería.
Esta licitación está basada en el SDA 859.21 y se tramita por procedimiento restringido con las empresas adheridas en la categoría 20","Resuelta","18.000,00","Publicación PLACSP:
Adjudicación:18/11/2022
Formalización:22/11/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=EjFuyMCzadMBPRBxZ4nJ%2Fg%3D%3D"
"931.22","Suministros","Suministro e instalación física de cuatro (4) nodos hiperconvergentes para infraestructura del proyecto Boira encuadrado dentro del componente C21.15 Mejora de infraestructuras, el equipamiento, las tecnologías, la docencia y la evaluación digitales universitarios del Plan de Recuperación, Transformación y Resiliencia","Resuelta","57.851,24","Publicación PLACSP:
Adjudicación:15/12/2022
Formalización:19/12/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=I%2FumsXRpUOyiEJrVRqloyA%3D%3D"
"866AE","Suministros","Requerimiento de catálogos para la posterior selección de productos basado en el Contrato derivado del SDA con referencia 866.21, para la entrega de una pluralidad de bienes de forma sucesiva y por precio unitario de la categoría 8 sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Resuelta","0,00","Publicación PLACSP:
Adjudicación:26/10/2022
Formalización:28/10/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=50jURmxgQrznSoTX3z%2F7wA%3D%3D"
"930.22","Suministros","Suministro de un sistema PAL RTC System stand alone unit for automated uSPE clean up que disponga de módulo de robot, Sistema de comunicaciones, Software de control, Agitador vortex, Módulos de disolventes para elución y lavado; con demostrada compatibilidad para trabajar con diferente instrumentación analítica de diferentes empresas del sector como SCIEX, Agilent, Eksigent, Thermo, Bruker etc","Resuelta","49.100,00","Publicación PLACSP:
Adjudicación:16/11/2022
Formalización:12/12/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=AO8J7vl8eXwBPRBxZ4nJ%2Fg%3D%3D"
"913.22","Suministros","Suministro de 445 PCs para aulas de informática y personal de administración y servicios","Resuelta","569.600,00","Publicación PLACSP:
Adjudicación:12/01/2023
Formalización:08/02/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=wl3cILlkJHqrz3GQd5r6SQ%3D%3D"
"929.22","Suministros","Suministro del derecho de uso y actualización de las licencias de software IBM SPSS Statistics: IBM SPSS Statistics Base, IBM SPSS Advanced Statistics, IBM SPSS Client Categories, IBM SPSS Conjoint, IBM SPSS Custom Tables, IBM SPSS Forecasting, IBM SPSS Regression, IBM SPSS Bootstrapping, IBM SPSS Missing Values, IBM SPSS Complex Samples, IBM SPSS Data Preparation, IBM SPSS Direct Marketing, IBM SPSS Exact Tests, IBM SPSS Decisión Trees, IBM SPSS Neural Networks y IBM SPSS Amos","Resuelta","48.000,00","Publicación PLACSP:
Adjudicación:03/11/2022
Formalización:18/11/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=eQYYNmTESriiEJrVRqloyA%3D%3D"
"866AD","Suministros","Requerimiento de catálogos para la posterior selección de productos basado en el Contrato derivado del SDA con referencia 866.21, para la entrega de una pluralidad de bienes de forma sucesiva y por precio unitario de la categoría 16 Familia 1 (Gases) sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Resuelta","0,00","Publicación PLACSP:
Adjudicación:24/10/2022
Formalización:26/10/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=2XU1Rh57CgCiEJrVRqloyA%3D%3D"
"928.22","Obras","Ejecución de la obra de reforma y adecuación de la plaza Global Space Bulevar","Resuelta","357.000,00","Publicación PLACSP:
Adjudicación:08/11/2022
Formalización:30/11/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=0qtAQBqb6wouf4aBO%2BvQlQ%3D%3D"
"927.22","Suministros","Suministro de un sistema microFTIR de última generación con librerías actualizadas que tenga capacidad para trabajar de forma automática para así realizar un gran número de muestras de microplásticos por día","Resuelta","70.000,00","Publicación PLACSP:
Adjudicación:18/10/2022
Formalización:24/10/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=JSOCv%2BD6uMGiEJrVRqloyA%3D%3D"
"866AC","Suministros","Requerimiento de catálogos para la posterior selección de productos basado en el Contrato derivado del SDA con referencia 866.21, para la entrega de una pluralidad de bienes de forma sucesiva y por precio unitario de la categoría 16 sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Resuelta","0,00","Publicación PLACSP:
Adjudicación:21/09/2022
Formalización:10/10/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=dh7x9VpMJfiXQV0WE7lYPw%3D%3D"
"926.22","Suministros","Suministro de dos servidores para la ampliación del sistema de hiperconvergencia así como de las licencias software asociadas al mismo","Resuelta","130.000,00","Publicación PLACSP:
Adjudicación:18/10/2022
Formalización:15/11/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=yRgTsAgg5kqiEJrVRqloyA%3D%3D"
"866AB","Suministros","Requerimiento de catálogos para la posterior selección de productos basado en el Contrato derivado del SDA con referencia 866.21, para la entrega de una pluralidad de bienes de forma sucesiva y por precio unitario de la categoría 15 sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Resuelta","0,00","Publicación PLACSP:
Adjudicación:22/07/2022
Formalización:08/09/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=E%2BbFojaFkI4SugstABGr5A%3D%3D"
"923.22","Suministros","Suministro de dos enfriadoras para el CPD de la Universidad de Almería, incluido el transporte, montaje e instalación","Resuelta","214.945,92","Publicación PLACSP:
Adjudicación:05/09/2022
Formalización:27/09/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=9epqROKX5GznSoTX3z%2F7wA%3D%3D"
"924.22","Suministros","Contratación del uso de licencias para la enseñanza de inglés mediante la plataforma de autoaprendizaje BeEnglish Lab","Resuelta","9.917,36","Publicación PLACSP:
Adjudicación:15/07/2022
Formalización:21/07/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=xuo%2BYT2LO2eiEJrVRqloyA%3D%3D"
"866AA","Suministros","Requerimiento de catálogos para la posterior selección de productos basado en el Contrato derivado del SDA con referencia 866.21, para la entrega de una pluralidad de bienes de forma sucesiva y por precio unitario de la categorías 10, 12 y 14 sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Resuelta","0,00","Publicación PLACSP:
Adjudicación:14/07/2022
Formalización:14/07/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ZhIVe0nHpyurz3GQd5r6SQ%3D%3D"
"919.22","Servicios","Prestación del servicio integral de seguridad en las instalaciones de la Universidad de Almería","Resuelta","1.471.960,71","Publicación PLACSP:
Adjudicación:03/11/2022
Formalización:01/12/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FEpQ9kXHJ8GiEJrVRqloyA%3D%3D"
"915N.22","Servicios","Servicios de realización del manual institucional y las adaptaciones a la cartelería y señalética del Pabellón de historia natural de la Universidad de Almería","Resuelta","15.000,00","Publicación PLACSP:
Adjudicación:06/06/2022
Formalización:07/06/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=xQ1QK%2FTkVWWiEJrVRqloyA%3D%3D"
"922.22","Servicios","Prestación del Servicio de Póliza de seguro Responsabilidad Civil / Patrimonial de la Universidad de Almería","Resuelta","24.000,00","Publicación PLACSP:
Adjudicación:18/07/2022
Formalización:22/07/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=1YVDY%2BAQo2N7h85%2Fpmmsfw%3D%3D"
"921.22","Servicios","Prestación del Servicio de Póliza de seguro Todo Riesgo de Daños Materiales","Resuelta","107.688,00","Publicación PLACSP:
Adjudicación:05/09/2022
Formalización:30/09/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=00%2FnvP6Et7Auf4aBO%2BvQlQ%3D%3D"
"859AB","Servicios","Contratación de los servicios para la creación de los subsitios de Cultura, Cursos de verano, Universidad de Mayores, Doctorado EDIUAL y Sostenibilidad en el gestor de contenidos institucional de la UAL, Concrete.
Esta licitación está basada en el SDA 859.21 y se tramita por procedimiento restringido con las empresas adheridas en la categoría 20","Resuelta","20.000,00","Publicación PLACSP:
Adjudicación:14/06/2022
Formalización:20/06/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=4MkIN6xUPBCiEJrVRqloyA%3D%3D"
"859AA","Servicios","Contratación de los servicios para el desarrollo de una aplicación software que gestione las convocatorias de Acción Social de la UAL sustituyendo a la actual aplicación existente e incorporando algunas funcionalidades nuevas.
Esta licitación está basada en el SDA 859.21 y se tramita por procedimiento restringido con las empresas adheridas en la categoría 20","Resuelta","30.000,00","Publicación PLACSP:
Adjudicación:13/06/2022
Formalización:13/06/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=y3%2BQQhW5YQ4SugstABGr5A%3D%3D"
"920.22","Suministros","Suministro e instalación audiovisual del salón de actos del nuevo edificio de Empresariales","Resuelta","180.000,00","Publicación PLACSP:
Adjudicación:18/07/2022
Formalización:06/09/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=oe9Vlzur5KfnSoTX3z%2F7wA%3D%3D"
"916.22","Suministros","Suministro de tres servidores para la ampliación y mejora del sistema de copias de seguridad así como de las licencias software asociadas al mismo","Resuelta","156.000,00","Publicación PLACSP:
Adjudicación:13/06/2022
Formalización:08/07/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=1HeLeYu7BGsBPRBxZ4nJ%2Fg%3D%3D"
"918.22","Concesión de Servicios","Gestión de la Escuela Infantil de la Universidad de Almería ubicada en el campus de La Cañada","Resuelta","0,00","Publicación PLACSP:
Adjudicación:05/09/2022
Formalización:08/09/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=dteKJmVP0Louf4aBO%2BvQlQ%3D%3D"
"917.22","Obras","Ejecución de la obra de reforma y adecuación del edificio Centro de Atención al Estudiante (CAE) primera y segunda planta","Resuelta","1.612.228,14","Publicación PLACSP:
Adjudicación:30/05/2022
Formalización:16/06/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=AzzZ8Qz5iuEuf4aBO%2BvQlQ%3D%3D"
"912.22","Suministros","Contratación de la licencia de uso de la Herramienta Blackboard Ally, para la plataforma de docencia virtual Blackboard por dos años","Resuelta","29.664,00","Publicación PLACSP:
Adjudicación:04/04/2022
Formalización:06/04/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=rEj445L6qhkuf4aBO%2BvQlQ%3D%3D"
"914.22","Servicios","Mantenimiento de Instalaciones contra proliferación de legionella","Resuelta","17.000,00","Publicación PLACSP:
Adjudicación:21/06/2022
Formalización:28/06/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=jxlC2vqP2oBvYnTkQN0%2FZA%3D%3D"
"915.22","Servicios","Concurso de proyectos para la selección del diseño, desarrollo y aplicación de la identidad de marca del Pabellón de historia natural de la Universidad de Almería","Resuelta","15.000,00","Publicación PLACSP:
Adjudicación:28/07/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=sKl8jN191G6XQV0WE7lYPw%3D%3D"
"908B.22","Suministros","Suministro, montaje e instalación de mesa anatómica de disección virtual para la enseñanza del Grado de Medicina en la Universidad de Almería","Resuelta","91.020,00","Publicación PLACSP:
Adjudicación:17/03/2022
Formalización:21/03/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=vr1VNr8ACCQSugstABGr5A%3D%3D"
"911.22","Servicios","Prestación de servicios para el programa Study Abroad de la Universidad de Almería en 2022","Resuelta","118.163,64","Publicación PLACSP:
Adjudicación:06/04/2022
Formalización:09/05/2022
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=G92HT9PNLsB7h85%2Fpmmsfw%3D%3D"
